achieving,action,actions,address,addresses,agenda,agreement,agreements,agri0,amount,amounts,applicant,applicants,application,applications,architecture,area,areas,article,articles,associations,beneficiaries,beneficiary,budget,call,calls,cancer,case,cases,companies,company,contract,contracts,core,countries,country,date,dates,development,developments,duration,dynamics,educational,effect,effects,eligible,energy,engineering,environment,environments,establishment,establishments,field,fields,finances,financing,foundation,foundations,framework,fund,funding,funds,general,goals,governmental,grant,grants,guideline,guidelines,1,humanities,hydrogen,increasing,indicative,individual,individuals,industries,industry,infrastructure,infrastructures,institution,institutions,interaction,interactions,interim,investment,law,member,members,objective,objectives,organisation,organisations,organization,organizations,outcome,outcomes,participant,participants,parties,parts,party,payment,payments,personal,plan,planning,plans,priorities,priority,program,programme,programmes,programs,project,projects,proposal,proposals,protection,provision,provisions,public,repair,reporting,request,requests,requirements,result,results,scheme,schemes,science,sciences,sector,sectors,security,service,services,simulation,social,societal,societies,3,specific,storage,strengthening,subject,submission,sum,sums,support,supports,taking,technologies,technology,theme,themes,topic,topics,transport,world,@@class@@
0,0,0.311,0.35,0,0,0.417,0.529,0,0.538,0,0.606,0.321,0.26,0.538,0,0.431,0.565,0.561,0,1.097,0.519,0.731,0.266,0.226,0,0,0.372,0.548,0,0,0.701,0,0,0,0.372,0.404,0,0.355,0,0,0,1.296,0,0,0.325,0,0,0,0,0,0,0.401,0,0,0.585,0,0,0,0.788,0,0.479,0.23,0,0,0.277,0.367,0,0.681,0,0,0,0,0,0,0,0,0,0,0,0,0.479,0,0,1.232,0,0.706,0,0,0,0,0.409,0.264,1.665,0,0,0,0,0,0,0,0,0.984,1.277,0,0,0,0,0,0,0,0.133,0,0,0.122,0.168,0.316,0.255,0.571,0,0.669,0.273,0,0,0,0,0.45,0,0,0,0,0.807,0,0,0,0.571,0.328,0.377,0,0.548,0,0,0,0,0,0,0.474,0,0,0,0,0,0,0,0.757,0,0,0,0,0,0,0
0,0,0.242,0.272,0,0,0.324,0.411,0,0.418,0.698,0.471,0.249,0.202,0.418,0,0.334,0.439,0,0,0.852,0.403,0.567,0.207,0.175,0.348,0,0.289,0.426,0,0,0.545,0.638,0,0.187,0,0.313,0,0.275,0,0.411,0,0,0,0,0.253,0.681,0,0.612,0,0,0,0.311,0,0,0.454,0,0,0.318,0.612,0.134,0.372,0.179,0,0,0.215,0.285,2.361,0.529,0,0,0,0.702,0,0.391,0,0,0,0,0,0.869,0.372,0,0,0,0.685,0.548,0.26,0,0.379,0.299,0.318,0.205,0,0,0,0.82,0,0,0.627,0.548,0,0,0,0,0.401,0,0,0,0.517,0,0.103,0.293,0,0.095,0.131,0,0.198,0.444,0,0.52,0.212,0,0,0.598,0,0.35,0.514,0.193,0.49,0,0,0,0.52,0,0.444,0.255,0.293,0,0.426,0,0,0.411,0.224,0,0.852,0.368,0,0,0,0.146,0.875,0,0,0.588,0,0,0,0,0,0,0
0,0,0,0.299,0,0,0.357,0.452,0,0.461,0.769,0.519,0.274,0.222,0.461,0,0.369,0.483,0.48,0.769,0.939,0,0.625,0.228,0.193,0,0,0.319,0.469,0,0,0,0,0,0.206,0.319,0.345,0.832,0.304,0,0.452,0,1.109,0.604,0.848,0.279,0,0,0.675,0,0.837,0,0.343,0.522,0,0.501,0,0,0,0.675,0.147,0.41,0.197,0,0,0.237,0,0,0.583,0,0,0,0,0,0.431,0,0,0,0,0,0.958,0.41,0,0,0,0,0.604,0,0.504,0.418,0.33,0.35,0.226,0,0,0,0.903,0,0,0,0.604,0,0.843,1.093,0.541,0.442,0.655,0,0.788,0.57,1.468,0.114,0,0,0.105,0.144,0,0.218,0,0.633,0.573,0.233,0,0.728,0,0,0.385,0.566,0.213,0,0,0,0,0,0,0,0,0.323,0,0.469,0,0,0,0.247,0,0.939,0.405,0.369,0.755,1.011,0.16,0,0.423,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,1.266,0,0,0,0,1.841,0,0.788,0,0,0,0,0,0,0,0,0,0.808,0,0,0,1.131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.842,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.242,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.404,0,0,0.371,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,1.053,1.335,0,1.36,0,1.531,0,0.656,1.36,0,0,0,0,0,0,0,0,0.672,0,0,0,0,0,0,0,0,0,0,0,0,1.019,2.456,0,0,0,0,0,1.782,0,0.822,0,0,0,0,0,0,0,0,0,0,0,0,0,1.991,0.435,0,0,0,0,0,0,0,1.721,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.973,0,0.667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.336,0,0,0.309,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0.697,0,0.784,0,0.336,0.697,0,0.557,0,0,0,0,0,0,0.344,0,0,0,0,0,0,0,0,0,0,0,0,0.522,0,0.459,0,0.684,0,0,0,0,0.421,0,0,0,0,0,0,0,0,0,0.757,0,0,0,0,0,0.621,0.297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.621,0,0,0,0,0,0,0,0,0.498,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.668,0,0,0,0,0,0.172,0,0,0.158,0.218,0,0,0,0,0,0,0,0,0,1.572,0,0.856,0.322,0,0,0,0,0,0,0,0,0,0,0.709,0,0,0,0.373,0,0,0.613,0,1.142,0,0.243,0,0,0,0,0,0,0,0,0,0,0
0,0.597,0.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.1,0,0.564,0.478,0.949,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.365,0,0.487,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.71,0,0,0.816,0,0.559,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.411,0,0.282,0,0,0.259,0.357,0,0,0,0,0,0,0,0,0,0,0,0,0.527,0,0,0,0,0,0,0,0,0.8,0,0,0,0,1.121,0.611,0,0,0,0,0,0,0.397,2.388,0,0,0,0,1.815,0,0,0,0,0
0,0.561,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.034,0,0,0.449,0.891,0,0,0,0,0,0,0,0,0.479,0,0.804,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.343,0,0.458,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.01,0,0,0,0,0.667,0,0,0.767,0,0.526,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.265,0,0,0.243,0.335,0,0,0,0,0,0,0,0,0,0,0,0,0.495,0,0,0,0,0,0,0,0,0.751,0,0,0,0,1.053,0.574,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0.304,0.336,0.377,0,1.282,0,0,0,0,0,0,0.346,0,0,0,0.464,0.609,0,0,0,0.56,0.788,0,0.243,0.483,0,0,0,0,0,0,0,0,0,0,0,0,0.382,1.265,0.57,0,0,0,1.068,0,0.945,0,0.85,0,0,0,0.432,0.657,0,0,0,0,0,0,0.185,0,0.248,0,0,0,0,0,0,0,0,0,0.974,0,0,0,0,0,0,0,0,0.517,1.088,1.256,0,0,0,0,0.635,0.527,0.415,0,0.285,0,1.728,0.891,0,0,0,0,0,0,0,0,0,0.556,0,0,0.992,0.718,0,0.143,0.407,0,0.132,0.181,0,0,0,0,0,0,0,0,0,0,0,0,0.268,0,0,0,0,0,0,0.616,0,0.407,0,0.591,0.986,1.61,0.57,0.311,0,0,0,0,0,0,0.202,0,0,0,0,0.94,0.923,0,0.661,0.918,0.865,0
1.103,0.316,0.349,0.392,0,0,0,0,0,0,0,0,0,0.291,0.603,0,0.483,0,0,0,1.229,0.582,0,0,0.253,0.501,0,0,0,0,0,0,0,0.977,0.269,0,0,0,0.397,0,0,0,0,0.791,0,0,0,0,0.883,0,0,0,0.449,0.683,0,0,0,0,0,0,0.193,0,0.258,0,0,0,0.411,0,0,0,0,0,0,0,0.564,0.8,0,0,0,0,0,0,0,0,0,0,0,0.375,0,0.547,0.432,0,0.296,0,1.796,0,0,0,0.544,0,0,0,0,0,0,0.578,0.858,0,1.031,0,0,0.149,0.423,0,0.137,0.189,0,0,0,0,0,0.306,0,0,0,0,0,0,0.279,0,0,0,0,0,0,0,0.367,0.423,0,0.614,0,1.673,0.592,0.323,0,1.229,0,0,0,0,0.21,0,0,0,0,0.977,0,0,0,0,0,0
