action,actions,agenda,agreement,agreements,agri1,amount,amounts,applicant,applicants,application,applications,area,areas,associations,beneficiaries,beneficiary,budget,call,calls,companies,company,contract,contracts,countries,country,criteria,duration,energy,environment,environments,financing,foundation,foundations,fund,funding,funds,general,goals,governmental,grant,grants,guideline,guidelines,2,humanities,individual,individuals,industries,industry,infrastructure,infrastructures,institution,institutions,objective,objectives,organisation,organisations,organization,organizations,outcome,outcomes,participant,participants,participation,payment,payments,plan,plans,program,programme,programmes,programs,project,projects,proposal,proposals,public,request,requests,requirements,result,results,scheme,schemes,science,sciences,sector,sectors,security,service,services,societies,4,submission,technologies,technology,topic,topics,transport,@@class@@
0,0.693147,0,0.693147,0.693147,0,0.693147,0,0.693147,0.693147,0.693147,0.693147,0.693147,0.693147,0.693147,0.693147,0.693147,0.693147,0.693147,0,0,0,0.693147,0,0,0.693147,0.693147,0,0,0,0,0.693147,0,0,0.693147,0,0.693147,0.693147,0,0,0.693147,0.693147,0,0.693147,0,0,0,0,0,0,0,0,0,0.693147,0,0,0.693147,0.693147,0.693147,0,0,0,0,0,0.693147,0.693147,0.693147,0,0,0,0.693147,0,0,0.693147,0.693147,0.693147,0.693147,0.693147,0,0,0.693147,0,0,0,0,0.693147,0,0,0,0.693147,0.693147,0.693147,0,0,0,0,0.693147,0,0,0,0
0,0.693147,0,0.693147,0.693147,0,0.693147,0.693147,0.693147,0.693147,0.693147,0.693147,0.693147,0.693147,0.693147,0.693147,0.693147,0.693147,0.693147,0.693147,0,0,0.693147,0.693147,0.693147,0,0.693147,0.693147,0.693147,0.693147,0,0.693147,0,0,0.693147,0.693147,0.693147,0.693147,0,0,0.693147,0.693147,0.693147,0.693147,0,0,0.693147,0,0,0,0,0,0.693147,0.693147,0.693147,0.693147,0.693147,0.693147,0,0,0,0.693147,0,0,0.693147,0,0,0.693147,0,0,0.693147,0.693147,0,0.693147,0.693147,0,0.693147,0.693147,0.693147,0,0.693147,0.693147,0.693147,0.693147,0,0,0,0.693147,0,0.693147,0.693147,0.693147,0,0.693147,0,0,0.693147,0,0,0,0
0,0,0,0.693147,0.693147,0,0.693147,0.693147,0.693147,0.693147,0.693147,0.693147,0.693147,0.693147,0.693147,0,0.693147,0.693147,0.693147,0,0,0,0,0,0.693147,0.693147,0,0.693147,0,0.693147,0,0.693147,0,0,0.693147,0.693147,0.693147,0.693147,0,0,0.693147,0,0,0.693147,0,0,0.693147,0,0,0,0,0,0.693147,0.693147,0.693147,0.693147,0.693147,0.693147,0,0,0,0.693147,0,0,0.693147,0.693147,0.693147,0.693147,0,0.693147,0.693147,0,0,0.693147,0.693147,0,0.693147,0.693147,0,0,0.693147,0.693147,0.693147,0,0,0,0,0,0,0,0,0.693147,0,0,0.693147,0,0,0,0,0,0
0,0,0,0.693147,0,0,0,0,0.693147,0,0.693147,0,0,0,0,0,0,0.693147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.693147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.693147,0,0,0,0,0,0,0,0,0,0,0,0,0,0.693147,0,0,0.693147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0.693147,0.693147,0,0.693147,0,0.693147,0,0.693147,0.693147,0,0,0,0,0,0.693147,0,0,0,0,0,0,0,0,0.693147,0,0,0,0,0,0,0,0.693147,0.693147,0,0,0,0,0,0,0,0.693147,0,0,0,0,0,0,0,0,0,0,0,0.693147,0,0.693147,0,0,0,0,0,0,0,0,0,0,0,0,0.693147,0,0,0.693147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0.693147,0,0.693147,0,0.693147,0.693147,0.693147,0,0,0,0,0.693147,0,0,0,0,0,0,0,0,0.693147,0.693147,0,0,0,0.693147,0,0,0,0,0.693147,0.693147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.693147,0,0.693147,0,0,0,0,0,0,0,0,0.693147,0,0,0.693147,0,0,0.693147,0,0,0.693147,0.693147,0,0,0,0,0.693147,0,0.693147,0.693147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.693147,0.693147,0,0,0,0,0,0,0,0,0,0,0,0,0,0.693147,0,0.693147,0.693147,0.693147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.693147,0,0.693147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.693147,0,0.693147,0,0,0,0,0,0,0,0,0,0,0,0,0.693147,0,0,0.693147,0.693147,0,0,0,0,0,0,0,0.693147,0,0,0,0,0,0,0,0,0.693147,0,0.693147,0,0,0,0,0,0,0
0.693147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.693147,0,0,0.693147,0.693147,0,0,0,0,0.693147,0,0,0,0,0,0,0,0,0,0,0.693147,0,0.693147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.693147,0,0.693147,0,0,0,0,0,0,0,0,0,0,0,0,0.693147,0,0,0.693147,0.693147,0,0,0,0,0,0,0,0.693147,0,0,0,0,0,0,0,0,0.693147,0,0.693147,0,0,0,0,0,0,0
0.693147,0.693147,0.693147,0,0,0,0,0,0,0.693147,0,0,0.693147,0.693147,0,0.693147,0.693147,0,0.693147,0.693147,0,0,0,0,0,0,0,0.693147,0.693147,0.693147,0,0,0,0,0,0.693147,0,0.693147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.693147,0.693147,0.693147,0,0.693147,0,0.693147,0.693147,0,0,0,0.693147,0,0,0.693147,0,0,0.693147,0.693147,0,0.693147,0.693147,0,0,0,0,0,0,0,0.693147,0,0,0,0,0,0,0.693147,0,0.693147,0.693147,0.693147,0,0,0,0,0.693147,0.693147,0
0.693147,0.693147,0,0,0,0,0,0,0,0,0.693147,0.693147,0.693147,0,0.693147,0.693147,0,0,0.693147,0.693147,0,0,0,0,0.693147,0,0,0,0,0.693147,0,0,0,0,0,0.693147,0,0.693147,0,0,0,0.693147,0,0,0,0,0.693147,0.693147,0,0,0,0,0,0,0.693147,0.693147,0,0.693147,0,0.693147,0,0,0,0.693147,0.693147,0,0,0.693147,0,0,0.693147,0.693147,0,0.693147,0.693147,0,0,0.693147,0,0,0,0,0.693147,0,0,0,0,0,0,0,0.693147,0.693147,0.693147,0.693147,0,0,0,0,0,0,0
