accordance,achieved,achieving,action,actions,active,activities,activity,address,addresses,agenda,agreement,agreements,agriculture,aid,amount,amounts,applicant,applicants,application,applications,architecture,area,areas,article,articles,aspects,associations,automatic,award,bank,behaviour,beneficiaries,beneficiary,bodies,body,budget,budgetary,building,buildings,call,calls,cancer,capital,case,cases,centre,centres,commission,companies,company,condition,conditions,confidentiality,confirm,consumption,contact,contacts,content,contents,contract,contracts,contribution,contributions,core,cost,costs,council,countries,country,covering,creation,criteria,culture,data,date,dates,deal,decision,decisions,demand,demonstration,description,developing,development,developments,duration,dynamics,economies,economy,educational,effect,effects,eligible,emerging,energy,engagement,engineering,enhancing,enterprises,environment,environments,establishment,establishments,ethical,evaluation,evaluations,expenditure,expenditures,extent,facilities,factors,field,fields,finances,financing,formal,foundation,foundations,framework,full,fund,funding,funds,general,goals,governance,governmental,grant,grants,group,groups,guideline,guidelines,health,hearings,humanities,hydrogen,impact,impacts,implementation,including,increase,increasing,indicative,individual,individuals,industries,industry,information,infrastructure,infrastructures,innovation,innovations,institution,institutions,instrument,instruments,interaction,interactions,interest,interests,interim,investment,involve,issue,issues,key,knowledge,laboratory,law,leadership,length,life,line,manufacturing,maximum,medium,member,members,message,modelling,national,negotiation,negotiations,notice,notification,number,numbers,objective,objectives,obligations,open,organisation,organisations,organization,organizations,outcome,outcomes,parliament,participant,participants,parties,partner,partners,parts,party,payment,payments,percentage,performance,person,personal,persons,place,plan,planning,plans,play,point,points,priorities,priority,procurement,production,program,programme,programmes,programs,project,projects,promoter,promoters,promotion,proposal,proposals,protection,provision,provisions,public,publication,put,rate,rates,reader,reference,regard,relevance,repair,reporting,request,requests,requirements,result,results,return,review,rule,rules,scale,scales,scheme,schemes,science,sciences,scope,score,scores,screening,section,sections,sector,sectors,security,service,services,set,simulation,situation,situations,social,societal,societies,society,specific,staff,stem,storage,strengthening,strong,subject,submission,submit,success,sum,sums,support,supports,sustainable,synergies,taking,technological,technologies,technology,theme,themes,topic,topics,transfer,transnational,transport,treaty,union,user,users,values,view,views,vision,ways,welfare,world,writing,@@class@@
0.476,0,0,0,0.311,0.673,0.249,0,0.35,0,0,0.417,0.529,0,0,0.538,0,0.606,0.321,0.26,0.538,0,0.431,0.565,0.561,0,0.482,1.097,0,0,0.821,0,0.519,0.731,0,0.752,0.266,0,0,0,0.226,0,0,0.972,0.372,0.548,0,0,0,0,0,0,0,0,0,0,0.342,0,0,0,0.701,0,0.409,0,0,0.516,0.365,0.465,0,0.372,0,0,0.365,0.578,0.436,0.404,0,0,0.406,0,0,0,0,0,0.355,0,0,0,0,0,1.296,0,0,0.325,0,0,0,0,0,0,0,0,0,0,0,0.309,0,0.807,1.85,0,0,0,0.401,0,0,0.585,0.757,0,0,0,0.436,0.788,0,0.479,0.23,0,0,0,0.277,0.367,0,0.558,0,0.681,0,0,0,0,0.404,0,0.345,0.215,0.599,0,0,0,0,0,0,0.089,0,0,0,0,0,0.479,0,1.165,0,0,0,0,1.232,0,0,0,0,0,0.462,0,0.706,0,0,0,0.474,0,0.401,0,0,0,0,0,0.275,0,0,0,0,0,0,0,0,0,0,0.409,0.264,1.665,0,0,0,0,0,0,0,0.352,0.355,0,0,0.984,1.277,0,0,0.617,0,0,0.425,0,0,0,0,0.603,0.526,0,0,0,0,0,0.133,0,0,0.122,0.168,2.273,1.698,0.909,0.316,0.255,0.571,0,0.669,0.273,0,0,0.617,0,0,0,0,0.548,0,0,0,0,0.45,0,0,0,0,0,0.352,0,0,0,0,0.807,0,0,0,0.931,0,0,0,0,0,0.571,0.328,0.377,0.328,0,0,0,0.548,0,0,0,0,0,0,0,0,0,0.474,0,0.596,0,0,0,0,0,0,0,0,0,0,0.757,0,0,0,0,0.628,0,0,0,0.345,0,0,0,0,0,0,0,0,0,0,0
0.37,0,0,0,0.242,0.523,0.193,0.322,0.272,0,0,0.324,0.411,0,0.869,0.418,0.698,0.471,0.249,0.202,0.418,0,0.334,0.439,0,0,0.375,0.852,0,0,0.638,0,0.403,0.567,0,0.584,0.207,0,0.627,0,0.175,0.348,0,0.755,0.289,0.426,0,0,0,0,0,0,0.279,0,0,0,0.266,0.588,0,0.627,0.545,0.638,0.318,0,0,0.401,0.283,0.361,0.187,0,0,0,0.283,0.449,0.339,0.313,0,0,0.315,0,0,0,0,0,0.275,0,0.411,0,0,0,0,0,0,0.253,0,0.681,0,0,0.847,0,0.612,0,0,0,0,0.24,0,0.627,1.437,0,0,0,0.311,0,0,0.454,0.588,0,0,0.318,0.339,0.612,0.134,0.372,0.179,0,0,0,0.215,0.285,0,0.433,2.361,0.529,0,0,0,0,0.313,0,0.268,0.167,0,0.702,0,0.391,0,0,0,0.069,0,0,0,0,0.869,0.372,0.741,0.905,0,0,0,0.577,0,0.685,0,0,0,0,0.359,0,0.548,0,0,0,0,0,0.311,0,0.26,0,0,0,0.214,0,0,0,1.078,0.256,0,0.379,0.299,0,0.313,0.318,0.205,0,0,0,0.82,0,0,0,0.627,0.274,0.275,0.548,0,0,0,0,0,0.479,0,0.449,0.33,0.401,0,0,0,0.468,0.408,0,0.517,0.538,0.814,0,0.103,0.293,0,0.095,0.131,1.765,0,0.706,0,0.198,0.444,0,0.52,0.212,0,0,0.479,0,0,0,0,0.426,0,0,0.598,0,0.35,0.514,0.193,0,0.446,1.122,0.274,0,0,0.49,0,0,0,0.526,0,0,0,0.482,0,0.52,0,0.444,0.255,0.293,0.255,0,0.638,0,0.426,0,0,0.411,0.224,0,0,0,0.852,0,0.368,0,0.463,0,0,0,0.146,0.875,0,0,0,0,0,0.588,0,0,0,0,0.488,0,0,0,0,0,0,0,0,0,0,0,0,0,0.765,0
0.408,0.737,0,0,0,0.576,0.213,0.355,0.299,0,0,0.357,0.452,0,0.958,0.461,0.769,0.519,0.274,0.222,0.461,0,0.369,0.483,0.48,0.769,0.413,0.939,1.047,0,0.703,0,0,0.625,0,0,0.228,0.755,0,0,0.193,0,0,0,0.319,0.469,0,0,0.202,0,0,0,0,0,0,0,0.293,0,0,0,0,0,0.35,0,0,0.442,0.312,0.398,0.206,0.319,0,0,0,0.495,0.373,0.345,0.832,0,0.348,0.544,0,0,0.444,0,0.304,0,0.452,0,0,0,1.109,0.604,0.848,0.279,0,0,0,0,0,0,0.675,0,0.837,0,0,0.264,0,0,1.583,0,0,0.927,0.343,0.522,0,0.501,0.648,0,0,0,0.373,0.675,0.147,0.41,0.197,0,1.085,0,0.237,0,0,0.478,0,0.583,0,0,0,0,0.345,0,0.295,0.184,0.513,0,0,0.431,0,0,0,0.076,0,0,0,0,0.958,0.41,0,0,0,0,0.426,0,0,0,0.683,0,0.403,0.563,0.395,0,0.604,0,0,0,0.405,0,0.343,0.764,0,0.504,0,0,0.235,0,0,0,0,0.283,0,0.418,0.33,0,0.345,0.35,0.226,0,0,0,0.903,0,0,0,0,0.301,0.304,0.604,0,0.843,1.093,1.312,0,0.528,0.541,0.495,0.364,0.442,0.655,0,0,0.516,0.45,0.788,0.57,0.593,0,1.468,0.114,0,0,0.105,0.144,0,1.454,0.778,0,0.218,0,0.633,0.573,0.233,0.55,0,0.528,0,0,0,0.541,0.469,0,0.728,0,0,0.385,0.566,0.213,0.886,0,1.236,0.301,0,0,0,0,0,0,0.58,0,0,0,0.531,0,0,0,0,0,0.323,0.281,0,0.703,0,0.469,0,0,0,0.247,0.469,0,0,0.939,0,0.405,0.369,0.51,0,0.755,1.011,0.16,0,0.751,0,0.423,0,0,0,0,0,0,0,0.537,0,0,0.964,0.295,0,0,0.915,0.444,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,1.266,0,0,0,0,0,1.841,0,0.788,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.808,0,0,0,0,0,0,0,1.131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.242,0,0,0,0,0,0,0,0,0,0,1.756,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.842,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.242,0,0,0,0,0,0,0,0,0,1.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.404,0,0,0.371,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.204,0,0,0,0,0,0,0,0,0,0,1.053,1.335,0,0,1.36,0,1.531,0,0.656,1.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.672,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.033,0,0,0,0.921,0,0,0,0,0,0.921,1.46,0,1.019,2.456,0,1.026,0,0,0,0,0,0,0,0,0,0,0,0,1.782,0,0.822,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.673,0,0,0,0,0,0,0,1.911,0,0,0,0,1.991,0.435,0,0,0,0,0,0,0,0,0,0,1.721,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.973,0,0,0,0.667,0,0,0,0,0,0,0,0,0.889,0,0,0,0,0,0,0,1.558,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.336,0,0,0.309,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.617,0,0,0,0,0.872,0.322,0,0,0,0,0,0,0,1.448,0.697,0,0.784,0,0.336,0.697,0,0.557,0,0,0,0.624,0,0,0,0,0,0,0,0,0,0.344,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.465,0,0,0,0,0,0,0,0,0,0.529,0,0,0,0.472,0,0,0,0,0,0.472,0.748,0,0.522,0,0,0,0,0,0,0.672,0,0.459,0,0.684,0,0,0,0,0,0,0.421,0,0,1.331,0,0,0,0,0,0,0,0,0.4,0,0,2.394,0,0,1.402,0,0,0,0.757,0,0,0,0,0,0,0,0.621,0.297,0,0,0,0,0,0,0.722,0,0,0,0,0,0,0.522,1.057,0.446,0.279,0,0,0,0,0,0,0,0.115,0,0,0,0,0,0.621,0,0,0,0,0,0,0,0,0,0,0.609,0,0,0,0,0,0,0,0,0,0.519,1.155,0,0,0,0,0.356,0,0,0,0,0.427,0,0,0.498,0,0,0,0,0,0,0,0,0,0,0,0,0.456,0.459,0,0,0,0,0,0,0,0,0,0.55,0.668,0,0,0,0.78,0.68,0,0,0,0,0,0.172,0,0,0.158,0.218,0,0,1.177,0,0,0,0,0,0,0,0,0,0.798,0,0,0,0.709,0,0,0,1.572,0,0.856,0.322,0,0,0,0.456,0,0,0,0,0,0,0.877,1.235,0,0,0,0,0,0,0,0,0,0,0,0,0,0.709,0,0,0,0.373,0,0,0,0,0,0.613,0,0,0,1.142,0,0.243,0,1.135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.384,0,0,0,0,0,0,0,0
0,0,0,0.597,0.66,1.427,0.527,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.1,0,0,0,0.564,0,0,0,0.478,0.949,0,0,0,0,0,0,0.5,0,0,0,0.762,0,0,0,0.726,1.604,0.973,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.226,0,0,0,0,0,0,0,0,1.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.365,0,0.487,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.457,0,0,0,0,0,0,0,0.189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.395,0,0,0,0,0,0,0,0,0,0,0.71,0,0,0,0,0,0,1.632,0,0,0,0,0.816,0,0,0,0.559,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.114,0,1.411,0,0,0,0.282,0,0,0.259,0.357,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.114,0,0,0,0,0,0,0,0,0.527,0,0,0,0.746,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8,0,0,0,0,0,0,0,1.121,0.611,0,0,0,0,0,0,0,0,0,0,0,0.397,2.388,0,0,0,0,0,0,0,1.815,0,0,0,0,0,0,0.731,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0.561,0,1.341,0.495,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.034,0,0,0,0,0,0,0,0.449,0.891,0,0,0,0,0,0,0.47,0,0,0,0,0,0,0,0,1.507,0.914,0,0,0,0,0,0,0,0,0,0.479,0,0,0,0,1.151,0,0.804,0,0,0,0,0,0,0,1.799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.343,0,0.458,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.178,0,0,0,0,0,0,0,0,2.01,0,0,0,0,0,0,0,0,1.31,0,0,0,0,0,0,0,0,0,0,0.667,0,0,0,0,0,0,1.533,0,0,0,0,0.767,0,0,0,0.526,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.265,0,0,0.243,0.335,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.495,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.751,0,0,0,0,0,0,0,1.053,0.574,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.799,0,0,0.687,0,0,2.129,0,0,0,0,0,0,0,0
0,0.929,0,0.304,0.336,0.726,0.268,0,0.377,0,1.282,0,0,0,0,0,0,0,0.346,0,0,0,0.464,0.609,0,0,0.52,0,0,0,0,0,0.56,0.788,0,0,0,0,0.87,0,0.243,0.483,0,0,0,0,0,0,0.255,0,0,0,0.388,0,0,0,0,0.816,0.495,0,0,0,0.441,0,0,0.556,0,0,0,0,0,0,0,0.623,0,0,0,1.035,0,0,0,0,0,0.974,0.382,1.265,0.57,0,0,1.116,0,0,1.068,0,0,0.945,1.109,0,1.175,0,0.85,0,0,0,0,0,0,0,0,0,0,0,0.432,0.657,0,0,0,0,0,0,0.47,0,0.185,0,0.248,0,1.367,0,0,0,0,0,0,0,0,0,0,0,0.435,0,0.372,0.232,0.646,0.974,0,0,0,0,0,0.096,0,0,0.517,0,0,0.517,0,0,1.088,1.256,0.536,0.802,0,0,0.86,0.886,0.507,0.709,0.498,0,0,0,0,0.912,0.511,0,0,0,0,0.635,0,0,0.296,0,0,0.83,0,0,0,0.527,0.415,0,0.435,0,0.285,0,1.728,0.891,0,0.821,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.458,0.556,0,0,1.207,0,0,0.992,0.718,0,0,0,0.143,0.407,0,0.132,0.181,0,0,0.98,0,0,0,0,0,0,0,0.865,0,0,0,0,0.681,0.591,0,0,0,0,0,0,0.268,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.616,0,0.407,0.353,0,0.886,1.123,0.591,0.986,1.61,0.57,0.311,0,0,0,0,0.945,0,0,0,0,0,0,0.202,0,0.945,0.94,0,0,0,0,0.94,0.923,0,0.661,0,0,0.918,1.215,0.372,0,0,1.153,0.56,1.3,1.972,1.068,0,0.865,0,0
0,0.965,1.103,0.316,0.349,0.755,0.279,0,0.392,0,0,0,0,0,0,0,0,0,0,0.291,0.603,0,0.483,0,0,0,0,1.229,0,0,0,1.732,0.582,0,0,0,0,0,0.904,0,0.253,0.501,0,0,0,0,0,0,0.265,0,0,0,0,0,0,0,0,0.848,0.514,0,0,0,0,0,0.977,0,0,0,0.269,0,0,0,0,0.648,0,0,0,0,0,0,0,0,0,0,0.397,0,0,0,0,0,0,0.791,0,0,0,0,0,0,1.221,0,0.883,0,0,0,0,0.346,0,0,0,0,0,0,0.449,0.683,0,0,0,0,0,0,0.489,0,0.193,0,0.258,0,0,0,0,0.411,0.64,0.625,0,0,0,0,0,0,0.452,0,0.386,0.241,0.671,0,0,0.564,0.8,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0.557,0.833,0,0,0,0.92,0.527,0.737,0.517,0,0,0,0,0.948,0,0,0,0,0.375,0,0,0,0.308,0,0,0.863,0,0.37,0,0.547,0.432,0,0,0,0.296,0,1.796,0,0,0,0,0.544,0,0.395,0.397,0,0,0,0,0,0,0,0,0.648,0.476,0.578,0.858,0,1.254,0.675,0.589,1.031,0,0,0,0,0.149,0.423,0,0.137,0.189,0,1.903,1.019,0,0,0,0,0,0.306,0,0,0,0,0,0,0.708,0.614,0,0,0,0,0,0,0.279,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.367,0.423,0,0,0.92,0,0.614,0,1.673,0.592,0.323,0,0,0,1.229,0.983,0,0,0,0,0,0,0.21,0,0.983,0.977,0,0,0,0,0.977,0,0,0,0,1.012,0,0,0.386,0,0,1.198,0.582,0,2.05,1.11,0,0,0,0
